Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,3022.250000,3027.500000,3001.500000,3012.250000,3012.250000,823572
2019-07-31,3016.250000,3020.750000,2958.000000,2982.250000,2982.250000,1182050
2019-08-01,2970.250000,3014.250000,2944.500000,2952.000000,2952.000000,1951108
2019-08-02,2950.250000,2961.000000,2913.500000,2932.500000,2932.500000,2736926
2019-08-04,2929.250000,2931.750000,2925.250000,2926.750000,2926.750000,1074260
2019-08-05,2929.250000,2933.500000,2820.500000,2830.000000,2830.000000,2447014
2019-08-06,2816.250000,2883.750000,2775.750000,2876.000000,2876.000000,3072122
2019-08-07,2873.750000,2891.500000,2823.250000,2880.500000,2880.500000,2601037
2019-08-08,2879.000000,2940.750000,2870.500000,2940.000000,2940.000000,2680813
2019-08-09,2928.000000,2935.750000,2899.000000,2919.750000,2919.750000,1800667
2019-08-11,2918.750000,2926.500000,2914.500000,2916.500000,2916.500000,902330
2019-08-12,2918.750000,2931.000000,2872.500000,2880.250000,2880.250000,2026304
2019-08-13,2882.250000,2944.250000,2866.750000,2932.000000,2932.000000,1710875
2019-08-14,2931.000000,2936.500000,2835.750000,2840.750000,2840.750000,2184012
2019-08-15,2836.000000,2871.750000,2817.750000,2848.500000,2848.500000,2786308
2019-08-16,2851.000000,2894.750000,2849.500000,2891.500000,2891.500000,2495340
2019-08-18,2893.000000,2907.750000,2892.500000,2903.750000,2903.750000,1808239
2019-08-19,2893.000000,2932.250000,2892.500000,2923.750000,2923.750000,1631175
2019-08-20,2921.250000,2932.250000,2894.250000,2898.250000,2898.250000,1285798
2019-08-21,2893.250000,2932.500000,2893.000000,2929.250000,2929.250000,1475214
2019-08-22,2931.250000,2939.750000,2904.250000,2922.250000,2922.250000,1180368
2019-08-23,2920.250000,2936.750000,2834.000000,2855.500000,2855.500000,1470309
2019-08-25,2831.000000,2831.250000,2810.250000,2824.250000,2824.250000,6057749
2019-08-26,2831.000000,2888.500000,2810.250000,2883.250000,2883.250000,2864662
2019-08-27,2882.750000,2899.500000,2860.000000,2865.500000,2865.500000,1850231
2019-08-28,2866.250000,2890.500000,2851.750000,2889.750000,2889.750000,1528362
2019-08-29,2883.250000,2930.750000,2875.250000,2926.750000,2926.750000,1489617
2019-08-30,2923.250000,2946.500000,2913.250000,2924.750000,2924.750000,1489670
2019-09-01,2901.000000,2910.000000,2895.250000,2909.750000,2909.750000,2099663
2019-09-03,2901.000000,2926.500000,2889.000000,2906.000000,2906.000000,1642516
2019-09-04,2903.000000,2939.500000,2902.000000,2938.500000,2938.500000,1999829
2019-09-05,2938.000000,2986.500000,2936.500000,2972.000000,2972.000000,1252834
2019-09-06,2970.750000,2988.250000,2970.250000,2980.750000,2980.750000,1669999
2019-09-08,2980.250000,2985.500000,2980.000000,2982.000000,2982.000000,703090
2019-09-09,2980.250000,2991.500000,2969.500000,2978.250000,2978.250000,1182287
2019-09-10,2979.250000,2985.000000,2957.250000,2978.500000,2978.500000,1199935
2019-09-11,2979.000000,3004.250000,2972.000000,3002.000000,3002.000000,1493346
2019-09-12,3003.000000,3021.750000,3001.000000,3011.750000,3011.750000,1423833
2019-09-13,3010.000000,3023.750000,3003.500000,3006.500000,3006.500000,1745651
2019-09-15,2993.500000,2997.500000,2985.250000,2989.000000,2989.000000,2233154
