Date,Open,High,Low,Close,Adj Close,Volume
2019-09-23,1567.900024,1570.400024,1552.300049,1568.900024,1568.900024,36466337
2019-09-24,1566.099976,1568.500000,1530.300049,1539.400024,1539.400024,48457133
2019-09-25,1540.800049,1556.500000,1529.400024,1552.699951,1552.699951,48700536
2019-09-26,1551.199951,1558.599976,1531.599976,1537.000000,1537.000000,40671255
2019-09-27,1534.599976,1544.500000,1516.599976,1525.900024,1525.900024,40287842
2019-09-29,1529.800049,1532.599976,1525.300049,1527.800049,1527.800049,99695
2019-09-30,1531.900024,1534.199951,1519.500000,1527.699951,1527.699951,34917206
2019-10-01,1531.699951,1545.000000,1491.199951,1497.500000,1497.500000,54732437
2019-10-02,1498.599976,1498.900024,1468.500000,1480.599976,1480.599976,53619117
2019-10-03,1481.599976,1489.199951,1459.000000,1484.400024,1484.400024,50009453
2019-10-04,1484.400024,1502.400024,1477.699951,1500.400024,1500.400024,37054788
2019-10-06,1490.699951,1495.699951,1487.500000,1494.300049,1494.300049,112171
2019-10-07,1492.699951,1510.500000,1491.000000,1499.199951,1499.199951,32301749
2019-10-08,1503.900024,1505.400024,1470.500000,1473.699951,1473.699951,43524155
2019-10-09,1478.699951,1490.900024,1462.699951,1467.199951,1467.199951,30625959
2019-10-10,1479.300049,1497.599976,1476.199951,1491.300049,1491.300049,44314475
2019-10-11,1493.699951,1529.800049,1492.699951,1512.900024,1512.900024,50843193
2019-10-13,1510.400024,1519.900024,1510.400024,1518.400024,1518.400024,41370
2019-10-14,1516.500000,1517.800049,1500.800049,1510.400024,1510.400024,23887321
2019-10-15,1509.500000,1531.400024,1507.699951,1523.699951,1523.699951,28769469
2019-10-16,1520.199951,1532.599976,1517.199951,1523.099976,1523.099976,26002660
2019-10-17,1523.599976,1545.000000,1521.300049,1541.500000,1541.500000,31234019
2019-10-18,1539.699951,1544.699951,1524.300049,1537.300049,1537.300049,29125706
2019-10-20,1534.699951,1538.900024,1534.199951,1538.300049,1538.300049,46672
